Provider,Dataset,Soundfile,gcs_path,expected_calls,first_row_id,max_end_sec,remote_size_bytes,remote_size_gb,shard_name
JASCO_VFPA,BoundaryPass,AMAR418.1.20180902T143639Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20180902T143639Z.wav,101,8588,1683.281,690816630,0.6433731224387884,43851aa368bae9c7_AMAR418.1.20180902T143639Z.wav.npz
JASCO_VFPA,BoundaryPass,AMAR418.1.20180907T030639Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20180907T030639Z.wav,63,8689,648.775,690816486,0.6433729883283377,c66a77d75890ab4b_AMAR418.1.20180907T030639Z.wav.npz
JASCO_VFPA,BoundaryPass,AMAR418.1.20180912T150639Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20180912T150639Z.wav,60,8752,1712.094,690816708,0.6433731950819492,3c8f4497b1f9e380_AMAR418.1.20180912T150639Z.wav.npz
JASCO_VFPA,BoundaryPass,AMAR418.1.20180915T220639Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20180915T220639Z.wav,183,8812,1772.809,690816866,0.643373342230916,00775a06c6e7c962_AMAR418.1.20180915T220639Z.wav.npz
JASCO_VFPA,BoundaryPass,AMAR418.1.20190322T172409Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20190322T172409Z.wav,339,8995,1798.671,690816816,0.6433732956647873,caca2cf00a88b0cc_AMAR418.1.20190322T172409Z.wav.npz
JASCO_VFPA,BoundaryPass,AMAR418.1.20190325T065409Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20190325T065409Z.wav,47,9334,1797.722,690816768,0.6433732509613037,32eeda9b79792a8b_AMAR418.1.20190325T065409Z.wav.npz
JASCO_VFPA,BoundaryPass,AMAR418.1.20190401T192409Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20190401T192409Z.wav,52,9381,1784.973,690816810,0.6433732900768518,422b1a7f6ea5db7b_AMAR418.1.20190401T192409Z.wav.npz
JASCO_VFPA,BoundaryPass,AMAR418.1.20190402T085409Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20190402T085409Z.wav,190,9433,1786.069,690816812,0.643373291939497,6c3ec2031beeb0f6_AMAR418.1.20190402T085409Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170719T030001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170719T030001Z.wav,41,9623,1785.7,518400068,0.48279768601059914,4190626b9bb87cfe_AMAR418.1.20170719T030001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170719T033001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170719T033001Z.wav,73,9664,869.9,518400068,0.48279768601059914,42dd7c5fb097696b_AMAR418.1.20170719T033001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170719T043001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170719T043001Z.wav,20,9737,1794.38,518400068,0.48279768601059914,8a8a5224d69da835_AMAR418.1.20170719T043001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170719T050001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170719T050001Z.wav,118,9757,1772.42,518400068,0.48279768601059914,92961e802f1bb674_AMAR418.1.20170719T050001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170719T053001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170719T053001Z.wav,32,9875,1729.14,518400068,0.48279768601059914,54dac7c868c5ecc1_AMAR418.1.20170719T053001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170725T060001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170725T060001Z.wav,40,9907,1249.64,518400068,0.48279768601059914,fe151145f9747c2d_AMAR418.1.20170725T060001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170804T063001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170804T063001Z.wav,31,9947,1789.22,518400068,0.48279768601059914,7f404022dbb05db0_AMAR418.1.20170804T063001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170804T070001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170804T070001Z.wav,78,9978,1777.18,518400068,0.48279768601059914,c001582728c5f713_AMAR418.1.20170804T070001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170804T073001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170804T073001Z.wav,9,10056,358.14,518400068,0.48279768601059914,062563b984c9e149_AMAR418.1.20170804T073001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170804T110001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170804T110001Z.wav,33,10065,1778.68,518400068,0.48279768601059914,d0a73ec2b0d67a6e_AMAR418.1.20170804T110001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170804T113001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170804T113001Z.wav,1,10098,81.36,518400068,0.48279768601059914,72c4fb3f0a6d1b8f_AMAR418.1.20170804T113001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170905T000001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170905T000001Z.wav,8,10099,1795.1,518400068,0.48279768601059914,9968025c7c85e603_AMAR418.1.20170905T000001Z.wav.npz
JASCO_VFPA,HaroStraitNorth,AMAR418.1.20170905T003001Z.wav,noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/vfpa-harostrait-nb/AMAR418.1.20170905T003001Z.wav,105,10107,1730.6,518400068,0.48279768601059914,c2eacf2bdc246dac_AMAR418.1.20170905T003001Z.wav.npz
