audio_path,start,end,provider,kw_ecotype,clan,subclan,pod,call_type,call_family,basename,gcs_key
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,4.288,5.44,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,4.288,4.576,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,4.288,4.576,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,4.592,5.44,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,4.863,5.215,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.063,17.279,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.063,16.479,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.111,16.559,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.367,17.279,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.719,18.784,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.719,17.119,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.751,17.151,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,16.911,17.263,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,17.263,17.647,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,17.792,18.784,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,27.023,27.343,dfo_crp,TKW,,,,T01,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,27.023,27.343,dfo_crp,TKW,,,,T01,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,27.039,27.311,dfo_crp,TKW,,,,T01,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,38.48,38.831,dfo_crp,TKW,,,,T01,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,38.48,38.736,dfo_crp,TKW,,,,T01,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,38.511,38.831,dfo_crp,TKW,,,,T01,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,39.343,40.479,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,39.343,39.935,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,39.823,40.479,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,40.015,40.431,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,45.615,46.608,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
20131012/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,45.615,45.951,dfo_crp,TKW,,,,T04,Biggs/transient,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131012_015100Z.flac
